name,price,bid_ts
sandy,123456,2024-05-12 15:26:02
sandy,123456,2024-05-12 15:27:09
sandy,12345678,2024-05-12 15:30:19
Bb,5413,2024-05-12 15:30:31
Ee,5368,2024-05-12 15:32:03
Ee,9014,2024-05-12 16:07:25
sandy,123456789,2024-05-12 16:07:35
Ff,1785,2024-05-12 16:26:17
Ff,9217,2024-05-12 16:28:09
sandy,123456,2024-05-12 15:25:56
Ff,8276,2024-05-12 15:30:33
Ff,6701,2024-05-12 15:32:02
Ii,5766,2024-05-12 16:07:22
Ee,6398,2024-05-12 16:26:12
sandy,123456,2024-05-12 16:27:59
Dd,6282,2024-05-12 16:28:03
Dd,340,2024-05-12 16:28:08
Hh,9646,2024-05-12 15:30:25
Aa,527,2024-05-12 15:30:32
Ff,8723,2024-05-12 16:07:40
sandy,123456,2024-05-12 15:27:12
Cc,9478,2024-05-12 15:30:28
Jj,3373,2024-05-12 15:30:34
Bb,3263,2024-05-12 15:30:39
Hh,4513,2024-05-12 16:07:40
Jj,454,2024-05-12 16:30:07
Bb,7003,2024-05-12 15:30:32
Cc,8773,2024-05-12 15:30:34
Ii,7288,2024-05-12 15:32:04
Hh,3910,2024-05-12 16:07:23
Aa,1149,2024-05-12 16:07:39
Ii,281,2024-05-12 16:26:15
Ff,6863,2024-05-12 15:30:29
Ff,442,2024-05-12 15:30:30
Cc,6334,2024-05-12 15:32:06
Ee,2999,2024-05-12 16:30:10
Ff,2056,2024-05-12 16:44:42
